spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,1.9406109324758845,2.8194364089775563,2.976896551724138,3.0510399999999995,3.1130898946063232,3.213533568904593,3.218146718146718,3.2746850393700786,3.6027063115651217,3.6718688524590166,0.726636091,0.408678178,0.139185778,0.084440675,0.298406363,0.505354832,0.002862278,0.779080019,0.000515846,0.381314343
S11111,2.0283656238220877,2.890649942987457,3.0003657448706513,3.1673122629582804,3.18706683640993,3.211692455858748,3.2162996784565916,3.2746850393700786,3.670630167597765,3.6780761478163497,1.321354106,0.573917275,0.0285028,0.422878388,0.184414443,0.007922269,0.063365378,0.300550488,0.090117086,0.230403119
S11111,1.995414634146341,2.8626709895686493,2.926697311361665,3.0617383632491633,3.1338301061836353,3.241436912098605,3.3165930116472544,3.332494479759117,3.4241489655172415,3.722184568835099,1.233026213,0.65626272,0.032973563,0.183911625,0.030923318,0.108416997,0.362326058,0.595782465,0.026654758,0.263519595
S11111,2.0009187986651833,2.8366897321428572,2.9568897338403044,3.0502205392305357,3.1425639097744362,3.170883544303797,3.330497492477432,3.4041130524152106,3.4991727304839273,3.615828571428571,0.494217274,0.57429179,0.118952187,0.112637264,0.048148668,0.019919886,1.77738199,0.077707142,0.051037862,0.001550517
S11111,1.8546415413216155,2.7194730124966764,3.004318046456224,3.173567944250871,3.2283480787859222,3.334494141278875,3.386405994550408,3.442299687825182,3.520477951635846,3.6363177294507922,0.300688147,0.128421944,0.460644775,0.078230533,0.062519234,0.032185981,0.117649073,1.321725704,0.328296989,0.32668324
S11111,1.8864024158757546,2.8655122777307365,3.0138517632994617,3.0584375569735642,3.2404980544747084,3.2891691394658755,3.3485671039354186,3.3802053025152956,3.5802869565217392,3.7466217142857143,0.534489806,0.535795385,0.014659866,0.014097388,0.072018199,0.256259563,0.048092273,1.853465356,0.164676693,0.468314254
S11111,1.916207915567282,2.8848600682593855,3.006695081967213,3.1294836295603368,3.1825529075309817,3.332494479759117,3.4595793512382285,3.5466568662603084,3.5826323422770123,3.6050843373493975,0.359940747,0.358030825,0.341014204,0.092757019,0.052221892,0.054670105,0.005713332,1.265956187,0.311727603,0.014750023
S11111,1.7818423677014636,2.805127272727273,2.889924764890282,3.0404255961364317,3.2670183246073297,3.281426504439329,3.3546390293225476,3.382269387755102,3.4412260748959778,3.60627465303141,0.344700223,0.261638679,0.229667225,0.006881808,0.520141094,0.116075556,0.541201381,0.951230807,0.043550042,0.166387434
S11111,2.1018284815106214,2.7586032432432432,3.1011333333333333,3.1584234404536864,3.265107913669065,3.311658471760797,3.412517347990381,3.477052963872325,3.7375775075987843,3.764855610877058,0.563915299,0.093879501,0.882035529,0.011068253,0.031734431,0.196263891,0.065412319,1.39296704,0.032345257,0.494311378
S11111,1.998467974824139,2.8166980348740656,2.979224778761062,3.1234212818917237,3.2237021276595748,3.2518046875,3.332494479759117,3.3740298507462687,3.4969466996117187,3.759626003824091,0.5467327,0.261389389,0.494266604,0.004301005,0.033811822,0.445878347,0.298507333,1.294648167,0.015038266,0.576522701
S11111,1.8600149253731342,2.8527767481044646,2.9023092783505153,2.969936507936508,3.0700256332010984,3.171777777777778,3.322536178726242,3.3905538881309685,3.425210762331839,3.6484905660377356,0.639678785,0.494281016,0.068926427,0.072564529,0.080772418,0.001968988,0.0602191,2.281823839,0.005602432,0.003649022
S11111,1.8612999490748594,2.8506666666666667,3.002735714285714,3.0600869565217392,3.1690967741935485,3.2255587096774194,3.281426504439329,3.3576842105263163,3.613434846266471,3.6669196428571427,0.352305918,0.624706684,0.043663088,0.024423229,0.020641121,0.032226544,0.799568807,1.273971521,0.008537242,0.68684892
S11111,2.007386934673367,2.9948522255192875,3.1655300063171192,3.288199077125906,3.331495652173913,3.415680880330124,3.520477951635846,3.567447852760736,3.589688953488372,3.767476427750096,0.638106735,0.800401249,0.027390785,0.009713685,0.050905132,0.098636586,1.321181612,0.107276574,0.037410494,0.368302564
